;estado;sigla;regiao;cidade;populacao;pib;pib_percapita
1772;PARAIBA;PB;NORDESTE;Cuite de Mamanguape;6737;40357.0546875;5990.35986328
1773;PARAIBA;PB;NORDESTE;Marizopolis;6457;23577.13867188;3651.40991211
1774;PARAIBA;PB;NORDESTE;Queimadas;40323;194858.921875;4832.45019531
1775;PARAIBA;PB;NORDESTE;Alagoinha;13470;48926.3515625;3632.25
1776;PARAIBA;PB;NORDESTE;Natuba;10495;45638.9375;4348.64013672
1777;PARAIBA;PB;NORDESTE;Riacho dos Cavalos;8301;29296.59179688;3529.2800293
1778;PARAIBA;PB;NORDESTE;Algodao de Jandaira;2425;11251.95605469;4639.97998047
1779;PARAIBA;PB;NORDESTE;Boa Ventura;5905;21960.3359375;3718.93994141
1780;PARAIBA;PB;NORDESTE;Junco do Serido;6731;25847.86132812;3840.12011719
1781;PARAIBA;PB;NORDESTE;Areial;6441;23932.7890625;3715.68994141
1782;PARAIBA;PB;NORDESTE;Sao Jose de Piranhas;19566;80626.984375;4120.77001953
1783;PARAIBA;PB;NORDESTE;Riachao do Poco;4417;20743.28710938;4696.24023438
1784;PARAIBA;PB;NORDESTE;Frei Martinho;3025;12417.97558594;4105.12011719
1785;PARAIBA;PB;NORDESTE;Aguiar;5799;22089.37304688;3809.16992188
1786;PARAIBA;PB;NORDESTE;Areia de Baraunas;2159;8848.55664062;4098.45019531
1787;PARAIBA;PB;NORDESTE;Areia;25648;104586.7578125;4077.77001953
1788;PARAIBA;PB;NORDESTE;Sao Mamede;7998;34872.84375;4360.20019531
1789;PARAIBA;PB;NORDESTE;Mari;21137;88334.703125;4179.14990234
1790;PARAIBA;PB;NORDESTE;Jerico;8100;31312.67382812;3865.76000977
1791;PARAIBA;PB;NORDESTE;Pedra Branca;3861;15541.8515625;4025.34008789
1792;PARAIBA;PB;NORDESTE;Santa Rita;126775;1138589.125;8981.1796875
1793;PARAIBA;PB;NORDESTE;Barra de Santa Rosa;13273;54124.6328125;4077.80004883
1794;PARAIBA;PB;NORDESTE;Belem do Brejo do Cruz;7256;26376.34960938;3635.11010742
1795;PARAIBA;PB;NORDESTE;Desterro;8191;30984.4375;3782.73999023
1796;PARAIBA;PB;NORDESTE;Cachoeira dos Indios;8693;40478.1015625;4656.39990234
1797;PARAIBA;PB;NORDESTE;Gurinhem;13998;54047.7109375;3861.10009766
1798;PARAIBA;PB;NORDESTE;Serra Redonda;7915;34666.3046875;4379.81982422
1799;PARAIBA;PB;NORDESTE;Mato Grosso;2695;11010.53808594;4085.54003906
1800;PARAIBA;PB;NORDESTE;Caraubas;3964;19314.640625;4872.50976562
1801;PARAIBA;PB;NORDESTE;Mulungu;9629;37751.00390625;3920.55004883
1802;PARAIBA;PB;NORDESTE;Sao Bento;30353;157254.578125;5180.85986328
1803;PARAIBA;PB;NORDESTE;Salgado de Sao Felix;12950;45119.921875;3484.15991211
1804;PARAIBA;PB;NORDESTE;Curral de Cima;5648;31034.17382812;5494.72021484
1805;PARAIBA;PB;NORDESTE;Cabaceiras;5112;23832.2734375;4662.02978516
1806;PARAIBA;PB;NORDESTE;Lucena;11383;68387.4453125;6007.85986328
1807;PARAIBA;PB;NORDESTE;Tavares;14487;54769.8984375;3780.62011719
1808;PARAIBA;PB;NORDESTE;Mamanguape;41677;271837.96875;6522.49023438
1809;PARAIBA;PB;NORDESTE;Cuite;20834;82823.6875;3975.40991211
1810;PARAIBA;PB;NORDESTE;Ibiara;6304;23521.92578125;3731.27001953
1811;PARAIBA;PB;NORDESTE;Juru;10548;39501.80078125;3744.95996094
1812;PARAIBA;PB;NORDESTE;Barra de Sao Miguel;5624;25686.3046875;4567.27001953
